Geo Point,zone_id,site_id,modified,park,landuse,site_typ,species,diameter,height,spread,trunks,conditn,appraise,planted
"44.4817241022,-73.2196253074",ward 3,233,2017-01,battery park,park,Tree,"mapl,sugar",15,40,20,1,70,5300.0,1982
"44.4818169147,-73.2195987179",ward 3,234,2017-01,battery park,parking lot,Tree,"oak,red",20,45,40,1,80,10200.0,0
"44.4817491836,-73.2194139092",ward 3,238,2019-04,battery park,park,Tree,"catalpa,northern",2,10,5,1,80,130.0,2019
"44.4816560772,-73.2192585673",ward 3,239,2019-03,,park,Tree,"hackberry,common",13,20,20,1,80,3310.0,0
"44.4816209542,-73.2194413082",ward 3,241,2011-07,battery park,park,Tree,"mapl,sugar",19,50,40,1,70,8500.0,0
"44.490987587,-73.2332852133",ward 4,246,2019-10,lakeview cemetery,cemetery,Removal,,0,0,0,0,0,0.0,0
"44.4530539699,-73.2102331098",ward 5,675,2011-09,,residence,Tree,"mapl,norway",16,35,30,1,50,3120.0,0
"44.4530006314,-73.2091603746",ward 5,679,2013-10,,residence,Tree,"mapl,norway",12,30,20,1,70,2470.0,0
"44.4529089514,-73.2097057803",ward 5,683,2011-09,,residence,Tree,"mapl,norway",21,30,40,1,70,7500.0,0
"44.453034894,-73.2119661724",ward 5,695,2011-09,,residence,Tree,"mapl,nwy crmsn kg",21,20,30,1,70,7500.0,0
"44.4531758958,-73.2124485825",ward 5,700,2019-10,,residence,Tree,"mapl,norway",16,35,25,1,70,4370.0,0
"44.4531609438,-73.2121142679",ward 5,702,2019-02,,residence,Tree,mapl frman marmo,2,15,5,1,80,210.0,2017
"44.4531284604,-73.2115783647",ward 5,705,2011-09,,residence,Tree,"mapl,silver",36,40,50,1,80,18500.0,0
"44.453107156,-73.2112140943",ward 5,707,2013-02,,residence,Tree,maple free aut bl,3,10,10,1,80,210.0,2009
"44.4793507627,-73.1916466413",ward 1,708,2011-09,,residence,Tree,"cedar,western red",30,30,20,3,70,15800.0,0
"44.4794038199,-73.1912601452",ward 1,710,2011-09,,residence,Tree,"mapl,red",16,30,25,1,50,3360.0,0
"44.4794780644,-73.1906773419",ward 1,713,2011-09,,residence,Tree,"mapl,red",14,25,20,1,70,3610.0,0
"44.5110999307,-73.2674747179",ward 4,445,2014-11,,residence,Tree,maple free aut bl,12,35,25,1,80,3040.0,0
"44.5109136663,-73.2672917686",ward 4,448,2018-11,,residence,Tree,"linden,american",25,50,30,1,50,4680.0,0
"44.5106948441,-73.2670840801",ward 4,450,2019-02,,residence,Tree,maple free aut bl,6,25,15,1,80,780.0,0
"44.5102237773,-73.2664963141",ward 4,454,2014-11,,residence,Tree,maple free aut bl,5,20,10,2,70,480.0,0
"44.5101726278,-73.266426113",ward 4,455,2017-01,,residence,Stump,"mtn ash,european",8,0,0,2,0,0.0,0
"44.5100547808,-73.2662921024",ward 4,456,2014-11,,residence,Tree,"mapl,nwy crmsn kg",14,30,30,1,70,3350.0,0
"44.5097902084,-73.2652041688",ward 4,463,2014-11,,residence,Tree,crabapple spp,14,20,20,1,70,3090.0,0
"44.5098523416,-73.2651030859",ward 4,464,2014-11,,residence,Tree,crabapple spp,13,20,20,1,70,2670.0,0
"44.509873504,-73.2650538705",ward 4,465,2014-11,,residence,Tree,crabapple spp,13,20,10,3,70,2670.0,0
"44.5099040988,-73.2649960441",ward 4,466,2014-11,,residence,Tree,crabapple spp,13,20,10,4,70,2670.0,0
"44.5102058276,-73.2647365146",ward 4,468,2014-11,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5106180864,-73.2653925952",ward 4,495,2014-11,,residence,Tree,cherry,13,10,15,4,70,2890.0,0
"44.5103120908,-73.2650450508",ward 4,497,2014-11,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5100319941,-73.2650297419",ward 4,498,2014-11,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5097379713,-73.2655382871",ward 4,500,2014-11,,residence,Tree,crabapple spp,12,15,20,1,70,2280.0,0
"44.5097676852,-73.2657672144",ward 4,501,2014-11,,residence,Tree,"mapl,nwy crmsn kg",8,15,10,2,70,1110.0,0
"44.5098317829,-73.2658393812",ward 4,502,2014-11,,residence,Tree,crabapple spp,12,15,20,3,80,2600.0,0
"44.5100491811,-73.2660915944",ward 4,504,2014-11,,residence,Tree,maple free aut bl,7,25,20,1,80,1050.0,0
"44.5102431624,-73.2663149499",ward 4,506,2014-11,,residence,Tree,maple free aut bl,5,20,10,1,80,550.0,0
"44.510361354,-73.2664618376",ward 4,508,2019-02,,residence,Tree,crabappl rd jewel,2,5,5,1,80,180.0,2015
"44.5105963023,-73.2667766606",ward 4,510,2018-06,,residence,Tree,"mapl,norway",16,35,25,1,70,4370.0,0
"44.5110797115,-73.2672619193",ward 4,514,2018-06,,residence,Tree,"mapl,norway",19,40,40,1,70,6100.0,0
"44.5114858285,-73.2677112391",ward 4,515,2014-11,,residence,Tree,maple free aut bl,7,25,20,1,80,1050.0,0
"44.4931111312,-73.2403093573",ward 4,517,2018-12,north beach,park,Tree,"mapl,norway",9,25,20,1,70,1390.0,0
"44.4613515199,-73.2151230715",ward 5,520,2011-08,,municipal,Tree,"hackberry,common",6,15,15,1,50,450.0,0
"44.461674006,-73.2147008917",ward 5,522,2011-08,,municipal,Tree,"ash,gr patmore",4,15,10,1,70,290.0,2001
"44.4544891627,-73.2162617619",ward 5,554,2016-12,,residence,Tree,"mapl,rd columnr",11,20,10,1,70,2240.0,0
"44.4544714818,-73.2159067229",ward 5,555,2011-08,,residence,Tree,"ash,green",19,40,35,1,80,7000.0,0
"44.4544469892,-73.2154835611",ward 5,557,2019-05,,residence,Tree,"ash,gr mrshl sdls",19,40,50,1,70,6100.0,0
"44.4544378328,-73.215315217",ward 5,558,2011-08,,church,Tree,"ash,gr mrshl sdls",20,40,50,1,70,6800.0,0
"44.4518304701,-73.2100285565",ward 5,416,2016-05,,residence,Tree,"mapl,norway",15,30,30,1,65,3570.0,0
"44.4519021482,-73.2094132252",ward 5,422,2011-08,,residence,Tree,crabapple spp,8,15,15,2,30,430.0,0
"44.4519087704,-73.2095955493",ward 5,423,2011-08,,,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4519148279,-73.2097509822",ward 5,424,2011-08,,residence,Tree,"mapl,hedge",14,35,30,1,80,4130.0,0
"44.451934612,-73.2100126772",ward 5,425,2011-08,,residence,Tree,"mapl,silver",43,60,55,1,70,21200.0,0
"44.4519406938,-73.2101778526",ward 5,426,2011-08,,residence,Tree,maple free aut bl,7,25,15,1,80,1050.0,0
"44.4519468258,-73.2103349097",ward 5,427,2018-06,,residence,Tree,"mapl,norway",14,20,20,1,70,3350.0,0
"44.4519639994,-73.21058683",ward 5,429,2011-08,,residence,Tree,"mapl,hedge",17,25,25,1,50,3790.0,0
"44.4520211461,-73.2115986869",ward 5,432,2011-08,,residence,Tree,"mapl,hedge",13,25,20,1,70,3110.0,0
"44.4520518193,-73.2121541127",ward 5,435,2011-08,,residence,Tree,"mapl,hedge",15,20,25,1,80,4730.0,0
"44.4520639169,-73.2123533338",ward 5,436,2011-08,,residence,Tree,"mapl,norway",23,40,30,1,70,9000.0,0
"44.4520743297,-73.21268939",ward 5,438,2011-08,,residence,Tree,"mapl,hedge",11,30,20,1,80,2560.0,0
"44.5104102856,-73.2649632908",ward 4,469,2014-11,,residence,Tree,maple free aut bl,10,35,25,1,80,2120.0,0
"44.5105397791,-73.2651091683",ward 4,470,2014-11,,residence,Tree,maple free aut bl,10,35,20,1,70,1850.0,0
"44.5107817157,-73.2653787242",ward 4,472,2014-11,,residence,Tree,"mapl,red",11,25,20,1,50,1600.0,0
"44.5112354974,-73.2658988879",ward 4,475,2019-02,,residence,Tree,maple free aut bl,10,30,20,1,70,1850.0,0
"44.5114454076,-73.2661298186",ward 4,477,2014-11,,residence,Tree,maple free aut bl,6,25,15,1,80,780.0,0
"44.5115536014,-73.2662537371",ward 4,479,2019-05,,residence,Tree,"mapl,red",27,35,40,1,50,9500.0,0
"44.5117802889,-73.2665185121",ward 4,482,2014-11,,residence,Tree,maple free aut bl,9,30,20,1,80,1720.0,0
"44.511922957,-73.2666790553",ward 4,484,2014-11,,residence,Tree,maple free aut bl,9,30,20,1,70,1500.0,0
"44.512163698,-73.2669575004",ward 4,489,2014-11,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4617605499,-73.2147039959",ward 5,523,2011-08,,municipal,Tree,"ash,gr patmore",5,15,10,1,80,510.0,2001
"44.461847081,-73.2147091494",ward 5,524,2011-08,,municipal,Tree,"ash,gr patmore",4,15,10,1,70,290.0,2001
"44.4619336378,-73.2147102055",ward 5,525,2011-08,,municipal,Tree,"ash,gr patmore",5,20,15,1,80,510.0,2001
"44.4620890947,-73.2147202966",ward 5,527,2011-08,,municipal,Tree,"ash,gr patmore",5,20,15,1,70,440.0,2001
"44.4623538501,-73.2148484948",ward 5,531,2011-08,,municipal,Tree,"birch,river hritg",6,30,20,1,70,710.0,0
"44.4625441159,-73.2148876586",ward 5,539,2011-08,,municipal,Tree,"birch,river hritg",5,20,15,1,70,500.0,0
"44.4626371341,-73.2148628607",ward 5,541,2011-08,,municipal,Tree,"birch,river hritg",5,15,20,1,80,570.0,0
"44.4627435308,-73.2148691454",ward 5,542,2011-08,,municipal,Tree,"birch,river hritg",5,15,20,1,70,500.0,0
"44.4626920258,-73.2147667771",ward 5,546,2011-08,,municipal,Tree,"ash,gr patmore",4,20,15,1,70,290.0,2001
"44.454285775,-73.2147102356",ward 5,565,2011-08,,residence,Tree,"mapl,tatarian",9,15,20,2,70,1500.0,0
"44.4543725366,-73.2162516956",ward 5,571,2011-08,,residence,Tree,"mapl,hedge",14,20,25,1,70,3610.0,0
"44.4542114216,-73.2133103112",ward 5,577,2017-08,,residence,Tree,"linden,littleleaf",16,30,25,1,70,5300.0,0
"44.4541939787,-73.2129005364",ward 5,579,2011-08,,residence,Tree,"linden,littleleaf",20,30,25,1,50,6000.0,0
"44.454309845,-73.2129538063",ward 5,580,2011-08,,residence,Tree,"mapl,hedge",48,25,25,5,70,34200.0,0
"44.4543416035,-73.2135113597",ward 5,583,2011-08,,residence,Tree,"mapl,hedge",26,20,25,2,50,8800.0,0
"44.4543473901,-73.2136523833",ward 5,584,2011-08,,residence,Tree,"mapl,hedge",10,20,20,2,70,1850.0,0
"44.4533082649,-73.2148270031",ward 5,614,2011-08,,residence,Tree,"lilac,jap tre slk",7,20,15,1,80,1050.0,0
"44.4532061466,-73.2150501487",ward 5,618,2011-08,,residence,Tree,"mapl,nwy crmsn kg",17,30,25,1,70,4930.0,0
"44.4532131887,-73.215267742",ward 5,619,2019-02,,residence,Tree,"birch,river",2,15,10,1,80,220.0,2016
"44.4823108089,-73.2204304469",ward 3,630,2013-11,,municipal,Tree,crabapple spp,5,10,10,1,70,410.0,0
"44.454161407,-73.2123148982",ward 5,632,2011-09,,residence,Tree,"ash,gr mrshl sdls",10,35,25,1,80,1960.0,0
"44.4541387287,-73.2119422941",ward 5,634,2011-09,,residence,Tree,"ash,gr mrshl sdls",16,35,35,1,70,4370.0,0
"44.4541183465,-73.2115830141",ward 5,636,2011-09,,residence,Tree,"ash,gr summit",12,25,30,1,70,2470.0,0
"44.4510250243,-73.2136735607",ward 5,993,2015-10,,municipal,Planting Stumpite,,0,0,0,0,0,0.0,0
"44.4511695448,-73.2153675608",ward 5,995,2014-11,,municipal,Tree,cherry,8,20,15,1,80,1260.0,0
"44.4509486001,-73.2141621385",ward 5,996,2014-11,,municipal,Tree,"parrotia,persian",3,15,5,1,80,240.0,2007
"44.4509286442,-73.2137592432",ward 5,998,2014-11,,municipal,Tree,"lilac,jap tree",3,10,5,1,70,180.0,0
"44.4508982346,-73.2132307209",ward 5,1000,2014-11,,municipal,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.4508243627,-73.2118353905",ward 5,1005,2019-07,,municipal,Tree,apple,24,30,25,5,50,6400.0,0
"44.4662613036,-73.210859443",ward 5,1006,2011-12,,residence,Tree,"mapl,nwy emrld qn",17,35,25,1,70,5600.0,0
"44.4661755534,-73.2106991317",ward 5,1007,2011-12,,residence,Tree,"mapl,nwy emrld qn",15,35,30,1,70,4440.0,0
"44.4662480618,-73.2111800681",ward 5,1009,2011-12,,residence,Tree,"mapl,nwy emrld qn",8,25,15,1,70,1280.0,0
"44.4660899021,-73.211812988",ward 5,1014,2019-12,,residence,Tree,"mapl,silver",36,50,50,1,70,16200.0,0
"44.453142732,-73.2138480672",ward 5,595,2011-08,,residence,Tree,"mapl,nwy crmsn kg",10,25,20,1,50,1230.0,0
"44.4530938298,-73.2130047587",ward 5,601,2011-08,,residence,Tree,"mapl,nwy crmsn kg",17,35,25,1,70,4930.0,0
